𓂀	oeil d'Horus	
𓁿	oeil aux larmes qui coule	
𓁾	oeil avec couvercle inférieur peint enfermé dans une étendue de sable	
𓁽	oeil enfermé dans une étendue de sable	
𓁼	oeil avec couvercle inférieur peint	
𓁻	oeil avec couvercle supérieur peint	
𓁺	oeil retouché avec de la peinture	
𓁹	œil	
𓂉	nez, œil et joue	
𓂊	nez, œil et joue (cursif)	
𓎲	bassin d'albâtre	
𓎱	bassin d'albâtre	
⚆	Cercle blanc avec point à droite	
◠	demi-cercle supérieur	
◕	cercle avec tout sauf le quadrant supérieur gauche noir	
◉	fisheye	
◎	oeil de boeuf	
☉	Soleil
